GeneID	Classification	Specific tissues	Tau
F8388_007797	Expressed-In-All		0.84667945343973
F8388_007798	Expressed-In-All		0.50794593175997
F8388_007800	Mixed		0.808220270629938
F8388_007801	Mixed		0.645623472996445
F8388_007924	Expressed-In-All		0.592553190712655
F8388_007937	Mixed		0.871319083154014
F8388_007962	Low_expressed		
F8388_007963	Tissue-Specific	Bast_Fibre	0.965330347489174
F8388_007964	Low_expressed		
F8388_007965	Mixed		0.632236545002065
F8388_007968	Tissue-Specific	Root	0.999880329261764
F8388_007969	Group-Enriched	Root; Seed	0.960633017943561
F8388_007970	Expressed-In-All		0.824434511062549
F8388_007999	Group-Enriched	Hypocotyl; Root	0.906302558488402
F8388_008104	Tissue-Specific	Trichome	0.983594504385914
F8388_008149	Expressed-In-All		0.481105455434748
F8388_008299	Low_expressed		
F8388_008305	Group-Enriched	Flower_male; Induced_male_flower	0.878492246905157
F8388_008513	Mixed		0.714309015485177
F8388_008549	Mixed		0.864702175954762
F8388_008580	Expressed-In-All		0.597621093900633
F8388_009033	Expressed-In-All		0.435422042884978
F8388_009043	Mixed		0.725536086180254
F8388_009047	Tissue-Specific	Root	0.970792943275434
F8388_009068	Mixed		0.838562098135101
F8388_009151	Expressed-In-All		0.599876759086447
F8388_009152	Mixed		0.633186126545799
F8388_009158	Mixed		0.792545923583681
F8388_009162	Expressed-In-All		0.653657831511998
F8388_009164	Tissue-Specific	Root	0.989160011420782
F8388_009285	Group-Enriched	Root; Hypocotyl	0.87026828307827
F8388_009398	Mixed		0.619332794532523
F8388_009597	Expressed-In-All		0.360569873894601
F8388_009738	Tissue-Specific	Root	0.994581284173202
F8388_009740	Expressed-In-All		0.783100318256174
F8388_009773	Low_expressed		
F8388_009950	Tissue-Specific	Trichome	0.899010202656606
F8388_009974	Low_expressed		
F8388_009979	Tissue-Specific	Trichome	0.998490973365266
F8388_009980	Low_expressed		
F8388_010046	Expressed-In-All		0.273854660510049
F8388_010141	Expressed-In-All		0.706191121973228
F8388_010146	Mixed		0.566343636080154
F8388_010147	Group-Enriched	Root; Flower_female	0.930737683225983
F8388_010150	Mixed		0.803104101054525
F8388_010152	Low_expressed		
F8388_010283	Tissue-Specific	Root	0.989137595199445
F8388_010298	Low_expressed		
F8388_010437	Mixed		0.808406440505602
F8388_010440	Mixed		0.728929063812207
F8388_010441	Mixed		0.866625720415861
F8388_010681	Low_expressed		
F8388_010721	Low_expressed		
F8388_010772	Tissue-Specific	Trichome	0.991127088507003
F8388_010865	Mixed		0.801244803347228
F8388_010870	Low_expressed		
F8388_010872	Tissue-Specific	Bast_Fibre	0.890587013020516
F8388_010873	Tissue-Specific	Seed	0.922988631031719
F8388_010875	Mixed		0.862367848408461
F8388_010876	Mixed		0.816593554660565
F8388_011105	Tissue-Specific	Seed	0.998364625096006
F8388_011152	Tissue-Specific	Seed	0.996740001258912
F8388_011156	Expressed-In-All		0.65743092969863
F8388_011574	Mixed		0.868486770184553
F8388_011593	Low_expressed		
F8388_011644	Mixed		0.760150238248834
F8388_011645	Mixed		0.669865420830354
F8388_011646	Mixed		0.723660272597699
F8388_011727	Expressed-In-All		0.853737222330043
